"","preu","area","qual.total","condicio.total","any","carrer","tipus","garatge.cotxes","garatge.area","aire"
"36",55993,1044,5,5,1952,"Grvl","1Fam",2,504,"N"
"37",112000,960,4,3,1956,"Pave","1Fam",1,288,"Y"
"38",133000,1104,5,5,1956,"Pave","1Fam",1,384,"Y"
"39",131400,1144,5,6,1961,"Pave","1Fam",1,264,"Y"
"40",154300,2274,5,5,1960,"Pave","Duplex",2,480,"Y"
"41",285000,1310,9,5,2001,"Pave","TwnhsE",2,545,"Y"
"42",224500,1692,7,5,2009,"Pave","1Fam",2,650,"Y"
"43",94750,960,4,5,1965,"Pave","1Fam",1,432,"Y"
"44",310013,1880,8,5,2007,"Pave","1Fam",3,880,"Y"
"45",86900,672,4,7,1940,"Pave","1Fam",1,308,"Y"
"46",145100,1292,5,5,1964,"Pave","1Fam",2,520,"Y"
"47",337000,2365,8,5,1999,"Pave","1Fam",3,856,"Y"
"48",159000,1218,7,6,2007,"Pave","1Fam",2,576,"Y"
"49",138887,1784,5,5,1914,"Pave","1Fam",1,180,"Y"
"50",244000,1501,7,6,1987,"Pave","TwnhsE",2,512,"Y"
"51",142000,912,6,8,1961,"Pave","1Fam",1,288,"Y"
"52",222000,1726,6,5,2008,"Pave","TwnhsE",2,561,"Y"
"53",120000,1090,6,8,1940,"Pave","1Fam",1,240,"Y"
"54",156450,926,6,6,1977,"Pave","1Fam",1,351,"Y"
"55",157000,1432,5,7,1977,"Pave","1Fam",2,531,"Y"
"56",149350,1228,5,6,1966,"Pave","1Fam",1,271,"Y"
"57",158000,1159,5,5,1968,"Pave","1Fam",1,336,"Y"
"58",133000,914,5,5,1970,"Pave","1Fam",1,368,"Y"
"59",143000,1568,5,5,1967,"Pave","1Fam",2,440,"Y"
"60",582933,2822,9,5,2008,"Pave","1Fam",3,1020,"Y"
"61",233230,1919,8,5,2006,"Pave","1Fam",2,685,"Y"
"62",70000,892,4,6,1923,"Pave","1Fam",0,0,"Y"
"63",183500,1720,7,5,2004,"Pave","1Fam",2,440,"Y"
"64",183500,1169,6,6,1993,"Pave","1Fam",2,402,"Y"
"65",155000,1839,6,5,1966,"Pave","1Fam",2,442,"Y"
"66",120000,1183,3,7,1948,"Pave","1Fam",1,308,"Y"
"67",184000,1490,7,5,2004,"Pave","1Fam",2,388,"Y"
"68",156000,1452,7,5,1999,"Pave","TwnhsE",2,506,"Y"
"69",254750,2184,8,5,2003,"Pave","1Fam",2,570,"Y"
"70",169500,1812,5,5,1962,"Pave","1Fam",1,264,"Y"
"71",166500,1344,5,5,1999,"Pave","1Fam",2,686,"Y"
"72",142000,1051,5,5,1968,"Pave","1Fam",2,504,"Y"
"73",415298,2121,9,5,2006,"Pave","1Fam",3,732,"Y"
"74",147400,1223,7,5,2005,"Pave","Twnhs",2,480,"Y"
"75",207000,1463,7,5,1998,"Pave","1Fam",2,539,"Y"
"76",195400,1208,7,5,2007,"Pave","1Fam",2,628,"Y"
"77",135000,1236,5,7,1961,"Pave","1Fam",1,288,"Y"
"78",120000,1217,6,6,1980,"Pave","TwnhsE",1,288,"Y"
"79",126000,1560,5,5,1968,"Pave","Duplex",3,792,"Y"
"80",109000,816,5,5,1925,"Pave","1Fam",1,210,"Y"
"81",269500,1968,8,5,2009,"Pave","1Fam",3,680,"Y"
"82",79275,864,4,5,1955,"Pave","1Fam",2,528,"Y"
"83",177000,1512,6,5,2000,"Pave","TwnhsE",2,440,"Y"
"84",93369,1884,4,1,1907,"Pave","1Fam",0,0,"N"
"85",158000,1193,7,5,1975,"Pave","1Fam",2,506,"Y"
"86",251000,1652,8,5,2000,"Pave","TwnhsE",2,499,"Y"
"87",168500,2061,7,5,1974,"Pave","1Fam",2,498,"Y"
"88",162000,1287,5,7,1959,"Pave","1Fam",2,576,"Y"
"89",162000,1336,6,6,1958,"Pave","1Fam",2,488,"Y"
"90",108500,960,4,4,1920,"Pave","1Fam",1,308,"Y"
"91",118500,816,6,5,1990,"Grvl","Duplex",0,0,"Y"
"92",192100,1851,7,6,1969,"Pave","1Fam",2,506,"Y"
"93",324000,1808,9,5,2008,"Pave","1Fam",3,850,"Y"
"94",100000,1245,5,6,1920,"Pave","1Fam",1,315,"Y"
"95",148000,1138,6,5,1960,"Pave","1Fam",2,480,"Y"
"96",154000,1246,5,7,1959,"Pave","1Fam",1,305,"Y"
"97",158900,1386,6,5,1978,"Pave","1Fam",2,440,"Y"
"98",315000,2365,7,9,1971,"Pave","1Fam",2,551,"Y"
"99",137000,1551,5,5,1938,"Pave","1Fam",1,240,"Y"
"100",119500,1376,6,6,1937,"Pave","1Fam",1,198,"Y"
"101",256000,2792,6,7,1920,"Pave","1Fam",2,520,"Y"
"102",158000,1158,6,5,2004,"Pave","1Fam",2,576,"Y"
"103",135960,943,5,5,1979,"Pave","Duplex",2,600,"Y"
"104",290941,1544,8,5,2009,"Pave","1Fam",3,868,"Y"
"105",213000,1630,7,5,2000,"Pave","1Fam",2,451,"Y"
"106",280000,1924,8,5,1998,"Pave","1Fam",2,592,"Y"
"107",208500,1710,7,5,2003,"Pave","1Fam",2,548,"Y"
"108",239500,2020,8,5,1995,"Pave","1Fam",2,466,"Y"
"109",200000,2634,5,5,1969,"Pave","Duplex",4,968,"Y"
"110",231500,1764,6,5,1997,"Pave","1Fam",2,470,"Y"
"111",189500,1630,7,5,2004,"Pave","1Fam",2,436,"Y"
"112",395039,1766,9,5,2008,"Pave","1Fam",3,874,"Y"
"113",173000,1291,6,5,1996,"Pave","1Fam",2,431,"Y"
"114",161000,2180,6,5,1915,"Pave","1Fam",2,720,"Y"
"115",172500,1320,6,5,1971,"Pave","1Fam",2,495,"Y"
"116",90000,1296,4,5,1967,"Pave","Duplex",2,516,"Y"
"117",279000,1743,8,6,1976,"Pave","1Fam",2,529,"Y"
"118",176400,1143,7,5,2004,"Pave","TwnhsE",2,588,"Y"
"119",125000,1125,6,6,1976,"Pave","1Fam",1,352,"Y"
"120",145000,1092,6,7,1964,"Pave","1Fam",2,504,"Y"
"121",235000,1865,7,5,2000,"Pave","1Fam",3,839,"Y"
"122",144000,1524,5,5,1958,"Pave","1Fam",1,315,"Y"
"123",179000,1800,6,5,2000,"Pave","1Fam",2,463,"Y"
"124",135000,1981,4,3,1928,"Pave","1Fam",2,576,"Y"
"125",114900,1680,5,7,1910,"Pave","2fmCon",2,450,"Y"
"126",159000,1114,7,5,2004,"Pave","1Fam",2,576,"Y"
"127",174500,1576,6,6,1961,"Pave","1Fam",2,368,"Y"
"128",195800,1611,7,5,2005,"Pave","1Fam",2,572,"Y"
"129",158500,1152,6,8,1950,"Pave","1Fam",1,300,"Y"
"130",229000,2183,7,5,1988,"Pave","1Fam",3,786,"Y"
"131",187000,1855,6,7,1976,"Pave","1Fam",2,512,"Y"
"132",119500,945,5,6,1973,"Pave","Twnhs",1,253,"Y"
"133",305000,1557,9,5,1999,"Pave","TwnhsE",2,484,"Y"
"134",318061,1869,9,5,2007,"Pave","TwnhsE",2,617,"Y"
"135",175000,1280,5,6,1966,"Pave","1Fam",2,432,"Y"
"136",287500,2197,7,5,1993,"Pave","1Fam",3,783,"Y"
"137",245350,1694,8,5,2008,"Pave","1Fam",3,776,"Y"
"138",145000,1642,6,6,1927,"Pave","1Fam",1,374,"Y"
"139",291000,1662,7,5,2006,"Pave","1Fam",3,711,"Y"
"140",90000,960,4,5,1958,"Pave","1Fam",0,0,"Y"
"141",99900,864,5,8,1922,"Pave","1Fam",0,0,"Y"
"142",211000,1870,7,5,2001,"Pave","1Fam",2,608,"Y"
"143",225000,2008,5,8,1948,"Pave","1Fam",1,230,"Y"
"144",175900,1603,6,5,1992,"Pave","1Fam",2,484,"Y"
"145",119900,868,5,6,1971,"Pave","2fmCon",2,576,"Y"
"146",78000,936,3,5,1916,"Grvl","1Fam",0,0,"N"
"147",240000,2327,7,5,2003,"Pave","1Fam",2,596,"Y"
"148",335000,2519,7,5,1989,"Pave","1Fam",2,628,"Y"
"149",225000,1733,7,5,2003,"Pave","1Fam",2,433,"Y"
"150",162000,1395,6,6,1972,"Pave","1Fam",2,497,"Y"
"151",169000,2447,6,7,1919,"Pave","1Fam",1,336,"Y"
"152",82000,540,2,5,1941,"Pave","1Fam",1,200,"Y"
"153",160000,1694,6,5,1994,"Pave","1Fam",2,398,"Y"
"154",138000,1544,4,7,1890,"Pave","1Fam",0,0,"Y"
"155",155000,788,8,5,1980,"Pave","TwnhsE",2,484,"Y"
"156",167000,2039,7,5,1941,"Pave","1Fam",3,791,"Y"
"157",224000,1640,6,7,1954,"Pave","1Fam",2,924,"Y"
"158",134900,858,5,5,1982,"Pave","1Fam",2,576,"Y"
"159",143450,1152,6,6,1968,"Pave","1Fam",2,412,"Y"
"160",179900,1442,7,5,1990,"Pave","1Fam",2,719,"Y"
"161",150909,1828,5,6,1923,"Pave","1Fam",NA,NA,"Y"
"162",105000,1242,6,6,1935,"Pave","1Fam",1,180,"Y"
"163",130000,1360,5,5,1955,"Pave","1Fam",2,572,"Y"
"164",96500,1140,4,7,1910,"Pave","1Fam",0,0,"Y"
"165",395192,1940,9,5,2009,"Pave","1Fam",3,606,"Y"
"166",147983,2228,5,5,1979,"Pave","Duplex",2,720,"Y"
"167",94000,1020,5,8,1875,"Pave","1Fam",0,0,"N"
"168",290000,2520,7,5,1995,"Pave","1Fam",3,721,"Y"
"169",129400,1540,5,9,1905,"Pave","1Fam",0,0,"Y"
"170",155835,1456,7,5,2006,"Pave","1Fam",2,440,"Y"
"171",115000,1540,4,4,1955,"Pave","1Fam",1,352,"Y"
"172",348000,2392,8,5,1997,"Pave","1Fam",3,870,"Y"
"173",155000,1128,5,6,1963,"Pave","1Fam",2,525,"Y"
"174",262000,1624,8,5,1994,"Pave","1Fam",3,757,"Y"
"175",111750,1302,5,5,1972,"Pave","Twnhs",1,264,"Y"
"176",163000,1336,5,5,1969,"Pave","1Fam",2,502,"Y"
"177",325000,2622,8,5,1994,"Pave","1Fam",2,712,"Y"
"178",129250,988,5,6,1966,"Pave","1Fam",1,360,"Y"
"179",138000,1456,6,5,1978,"Pave","TwnhsE",2,440,"Y"
"180",250000,2057,7,7,1936,"Pave","1Fam",1,180,"Y"
"181",226750,1892,7,5,2000,"Pave","1Fam",2,431,"Y"
"182",194000,1240,7,5,2006,"Pave","1Fam",3,826,"Y"
"183",215000,1392,5,5,2002,"Pave","1Fam",3,650,"Y"
"184",132500,1281,5,6,1926,"Pave","1Fam",2,379,"Y"
"185",116000,910,5,7,1953,"Pave","1Fam",2,414,"Y"
"186",198600,1278,8,5,2006,"Pave","1Fam",2,584,"Y"
"187",241600,1740,7,5,1981,"Pave","1Fam",2,540,"Y"
"188",153000,1114,5,5,2003,"Pave","1Fam",2,576,"Y"
"189",89500,1022,5,5,1922,"Pave","1Fam",1,184,"N"
"190",146500,1193,5,6,1972,"Pave","2fmCon",2,501,"Y"
"191",147000,1344,5,7,1920,"Pave","1Fam",1,468,"Y"
"192",370878,1766,9,5,2009,"Pave","1Fam",3,478,"Y"
"193",112000,1302,5,5,1971,"Pave","Twnhs",1,280,"Y"
"194",106000,2138,5,5,1898,"Pave","1Fam",2,360,"N"
"195",120000,1182,6,7,1945,"Pave","1Fam",1,378,"Y"
"196",140000,1095,6,5,1958,"Pave","2fmCon",1,264,"Y"
"197",335000,2184,9,5,2008,"Pave","1Fam",3,836,"Y"
"198",165000,1774,5,5,1961,"Pave","1Fam",1,384,"Y"
"199",131250,1091,6,5,1993,"Pave","1Fam",1,429,"Y"
"200",122000,1324,6,8,1920,"Pave","1Fam",1,180,"Y"
"201",227000,1988,6,7,1966,"Pave","1Fam",2,480,"Y"
"202",214000,1235,8,5,1980,"Pave","Twnhs",2,484,"Y"
"203",277000,2062,7,5,1988,"Pave","1Fam",2,454,"Y"
"204",153500,1025,5,5,1976,"Pave","1Fam",2,370,"Y"
"205",130000,894,5,7,1967,"Pave","1Fam",2,450,"Y"
"206",118000,864,5,7,1959,"Pave","1Fam",1,308,"Y"
"207",246000,1646,8,5,2004,"Pave","TwnhsE",2,525,"Y"
"208",110000,894,4,5,1954,"Pave","1Fam",2,400,"Y"
"209",470000,2000,9,5,2005,"Pave","1Fam",3,722,"Y"
"210",130250,938,5,6,1975,"Pave","1Fam",1,308,"Y"
"211",110000,1284,5,7,1947,"Pave","1Fam",1,240,"Y"
"212",230000,1795,8,5,2002,"Pave","1Fam",2,534,"Y"
"213",301000,2048,8,5,2003,"Pave","1Fam",2,552,"Y"
"214",175000,1647,6,5,1999,"Pave","1Fam",2,460,"Y"
"215",173500,1190,7,5,2005,"Pave","1Fam",2,578,"Y"
"216",195500,1594,7,5,2004,"Pave","1Fam",2,434,"Y"
"217",181000,1337,6,5,1998,"Pave","TwnhsE",2,511,"Y"
"218",244000,2054,6,5,2000,"Pave","1Fam",2,390,"Y"
"219",124500,816,5,7,1982,"Pave","1Fam",1,264,"Y"
"220",119000,1480,6,6,1920,"Pave","1Fam",1,207,"Y"
"221",128500,988,5,5,1961,"Pave","1Fam",2,572,"Y"
"222",275000,1742,8,5,1985,"Pave","1Fam",2,564,"Y"
"223",173000,1632,6,8,1966,"Pave","1Fam",2,484,"Y"
"224",127000,864,5,7,1972,"Pave","1Fam",1,352,"Y"
"225",207500,1728,6,5,2003,"Pave","1Fam",2,673,"Y"
"226",119900,1118,5,7,1939,"Pave","2fmCon",2,410,"Y"
"227",68104,845,2,4,1939,"Pave","1Fam",1,256,"Y"
"228",118000,698,5,9,1947,"Pave","1Fam",0,0,"Y"
"229",180500,1442,7,5,1990,"Pave","1Fam",2,500,"Y"
"230",241500,1363,7,7,1954,"Pave","1Fam",2,439,"Y"
"231",337500,1718,10,5,2006,"Pave","1Fam",3,786,"Y"
"232",114000,1232,5,7,1910,"Pave","1Fam",2,480,"Y"
"233",215000,1620,7,7,1967,"Pave","1Fam",2,578,"Y"
"234",55000,1092,4,5,1930,"Pave","2fmCon",0,0,"N"
"235",108000,996,5,6,1940,"Pave","1Fam",0,0,"Y"
"236",256000,1660,8,5,2007,"Pave","1Fam",3,660,"Y"
"237",120000,1053,5,7,1938,"Pave","1Fam",0,0,"Y"
"238",124000,1025,5,5,1962,"Pave","2fmCon",0,0,"Y"
"239",239000,1767,7,7,1987,"Pave","TwnhsE",2,504,"Y"
"240",274900,1713,8,5,2004,"Pave","1Fam",3,856,"Y"
"241",172400,1664,6,5,2000,"Pave","1Fam",2,460,"Y"
"242",167000,1488,6,6,1964,"Pave","1Fam",2,430,"Y"
"243",237500,2117,6,7,1970,"Pave","1Fam",2,550,"Y"
"244",206000,1208,7,5,2006,"Pave","1Fam",2,632,"Y"
"245",128000,1484,6,6,1914,"Pave","1Fam",0,0,"Y"
"246",155900,848,6,5,2004,"Pave","TwnhsE",2,420,"Y"
"247",166000,1524,6,5,2000,"Pave","TwnhsE",2,440,"Y"
"248",192000,1459,7,5,2002,"Pave","1Fam",2,527,"Y"
"249",212900,1552,7,5,2005,"Pave","1Fam",3,782,"Y"
"250",136000,1143,5,5,1959,"Pave","1Fam",1,308,"Y"
"251",208900,1338,8,5,2007,"Pave","1Fam",2,598,"Y"
"252",184000,1707,6,5,1978,"Pave","1Fam",2,479,"Y"
"253",256000,1567,6,8,1966,"Pave","1Fam",2,542,"Y"
"254",100000,1664,5,5,1965,"Pave","Duplex",0,0,"N"
"255",149000,1094,5,5,2003,"Pave","1Fam",2,576,"Y"
"256",190000,1888,6,6,1966,"Pave","1Fam",2,578,"Y"
"257",345000,2324,9,5,2005,"Pave","1Fam",3,736,"Y"
"258",135000,1098,5,7,1955,"Pave","1Fam",1,260,"Y"
"259",286500,1712,8,5,2002,"Pave","1Fam",3,701,"Y"
"260",140000,1717,7,5,1915,"Pave","1Fam",3,642,"Y"
"261",34900,720,4,5,1920,"Pave","1Fam",0,0,"N"
"262",250000,2514,7,5,1990,"Pave","1Fam",2,693,"Y"
"263",149900,1609,6,5,1953,"Pave","1Fam",1,305,"Y"
"264",99900,967,5,6,1920,"Pave","1Fam",1,180,"Y"
"265",156932,1412,6,5,2006,"Pave","1Fam",2,432,"Y"
"266",172000,1651,7,5,1963,"Pave","1Fam",1,276,"Y"
"267",190000,2620,5,5,1977,"Pave","Duplex",2,600,"Y"
"268",140000,907,5,5,1978,"Pave","1Fam",1,343,"Y"
"269",212000,1321,8,5,1990,"Pave","TwnhsE",2,484,"Y"
"270",375000,1778,8,5,2005,"Pave","TwnhsE",2,495,"Y"
"271",185101,1492,7,5,2006,"Pave","1Fam",2,440,"Y"
"272",213490,1506,7,5,2005,"Pave","TwnhsE",2,440,"Y"
"273",305900,2000,8,5,2004,"Pave","1Fam",3,888,"Y"
"274",383970,2696,7,5,2007,"Pave","1Fam",3,792,"Y"
"275",113722,1513,5,5,1979,"Pave","Duplex",2,400,"Y"
"276",277500,1561,9,5,2005,"Pave","TwnhsE",2,556,"Y"
"277",113700,1218,6,5,1973,"Pave","Twnhs",1,264,"Y"
"278",385000,1842,9,5,1981,"Pave","1Fam",3,894,"Y"
"279",219500,1740,7,6,1940,"Pave","1Fam",1,240,"Y"
"280",142000,1188,5,5,1959,"Pave","1Fam",2,531,"Y"
"281",133000,848,6,5,2003,"Pave","TwnhsE",2,420,"Y"
"282",315000,2726,8,5,1986,"Pave","1Fam",2,691,"Y"
"283",189000,1628,7,5,1996,"Pave","1Fam",2,390,"Y"
"284",114500,1176,6,6,1934,"Pave","1Fam",2,528,"Y"
"285",165500,1700,5,5,1959,"Pave","1Fam",2,447,"Y"
"286",145400,1285,6,7,1926,"Pave","1Fam",2,506,"Y"
"287",142250,1232,5,5,1966,"Pave","1Fam",2,490,"Y"
"288",145000,960,4,9,1965,"Pave","1Fam",1,364,"Y"
"289",178000,1571,6,7,1993,"Pave","1Fam",2,380,"Y"
"290",141500,1436,6,7,1921,"Pave","1Fam",1,228,"N"
"291",105000,1004,7,8,1930,"Pave","1Fam",1,200,"N"
"292",500067,2290,10,5,2007,"Pave","1Fam",3,1174,"Y"
"293",141000,848,6,5,2004,"Pave","TwnhsE",2,420,"Y"
"294",355000,2475,8,5,1998,"Pave","1Fam",3,962,"Y"
"295",179900,1944,7,8,1915,"Pave","1Fam",1,216,"Y"
"296",120000,1027,7,6,1920,"Pave","1Fam",0,0,"Y"
"297",315000,2630,8,5,1998,"Pave","1Fam",3,696,"Y"
"298",235128,1580,8,5,2007,"Pave","1Fam",3,830,"Y"
"299",157900,1188,5,7,1962,"Pave","1Fam",1,312,"Y"
"300",150000,1740,6,5,1968,"Pave","1Fam",2,512,"Y"
"301",180400,1465,6,5,1998,"Pave","1Fam",2,393,"Y"
"302",120000,1202,5,5,1956,"Pave","1Fam",1,304,"Y"
"303",161000,1211,6,5,1976,"Pave","1Fam",2,461,"Y"
"304",143000,1144,5,6,1959,"Pave","1Fam",1,796,"Y"
"305",220000,1541,7,5,2005,"Pave","1Fam",2,532,"Y"
"306",210900,2049,7,5,1996,"Pave","1Fam",2,467,"Y"
"307",98000,1092,6,9,1970,"Pave","Twnhs",0,0,"Y"
"308",180000,2640,5,5,1925,"Pave","2fmCon",3,1008,"Y"
"309",113500,1052,5,6,1967,"Pave","1Fam",1,668,"Y"
"310",135000,893,5,7,1949,"Pave","1Fam",2,576,"Y"
"311",252000,1618,8,5,2004,"Pave","1Fam",3,880,"Y"
"312",297900,1874,8,5,2007,"Pave","1Fam",3,880,"Y"
"313",139000,1638,6,5,1957,"Pave","1Fam",1,384,"Y"
"314",320000,2462,7,5,2005,"Pave","1Fam",2,576,"Y"
"315",205000,1548,7,7,1925,"Pave","1Fam",2,672,"N"
"316",150000,1582,5,6,1938,"Pave","1Fam",1,250,"Y"
"317",149000,1930,6,5,1927,"Pave","1Fam",1,316,"Y"
"318",180000,1280,8,5,1992,"Pave","TwnhsE",2,506,"Y"
"319",148000,914,5,5,1996,"Pave","1Fam",2,576,"Y"
"320",279500,1494,7,5,2006,"Pave","1Fam",3,840,"Y"
"321",219210,1863,7,5,2006,"Pave","1Fam",3,660,"Y"
"322",191000,1716,7,5,1996,"Pave","1Fam",2,512,"Y"
"323",185000,1262,6,5,2006,"Pave","1Fam",2,572,"Y"
"324",200141,1316,7,5,2007,"Pave","1Fam",2,440,"Y"
"325",175000,1743,6,6,1968,"Pave","1Fam",2,539,"Y"
"326",240000,2358,6,8,1908,"Pave","1Fam",2,360,"Y"
"327",105000,872,5,5,1924,"Pave","1Fam",1,322,"N"
"328",108500,865,6,8,1920,"Pave","1Fam",1,216,"Y"
"329",207500,1600,5,6,1957,"Pave","1Fam",1,319,"Y"
"330",140750,1470,6,7,1922,"Pave","1Fam",2,624,"Y"
"331",128900,1378,6,8,1935,"Pave","1Fam",1,162,"Y"
"332",135000,1134,5,7,1960,"Pave","1Fam",1,254,"Y"
"333",140000,1355,5,5,1941,"Pave","2fmCon",2,528,"Y"
"334",148000,1370,5,6,1956,"Pave","1Fam",1,300,"Y"
"335",345474,2122,8,5,2007,"Pave","1Fam",3,938,"Y"
"336",207000,1873,7,5,1988,"Pave","1Fam",2,619,"Y"
"337",143000,1133,6,5,2008,"Pave","1Fam",1,308,"N"
"338",118000,1440,4,4,1955,"Pave","Duplex",0,0,"N"
"339",149900,1456,6,6,1975,"Pave","Twnhs",2,440,"Y"
"340",129800,816,6,8,1934,"Pave","1Fam",1,240,"Y"
"341",155000,2104,7,6,1910,"Pave","1Fam",2,432,"Y"
"342",160000,1116,6,6,1962,"Pave","1Fam",2,440,"Y"
"343",131000,1218,6,6,1941,"Pave","1Fam",2,440,"Y"
"344",168000,1642,6,5,1993,"Pave","1Fam",2,392,"Y"
"345",128250,1435,5,6,1950,"Pave","1Fam",1,308,"Y"
"346",124000,1229,6,6,1980,"Pave","TwnhsE",2,462,"Y"
"347",375000,2522,8,5,2004,"Pave","TwnhsE",2,564,"Y"
"348",185000,1610,7,7,1972,"Pave","1Fam",2,515,"Y"
"349",237000,1995,7,5,1995,"Pave","1Fam",2,610,"Y"
"350",317500,1582,8,5,2007,"Pave","1Fam",3,905,"Y"
"351",171500,1730,6,6,1992,"Pave","1Fam",2,528,"Y"
"352",85500,869,4,7,1923,"Pave","1Fam",0,0,"Y"
"353",245000,2312,7,5,1999,"Pave","1Fam",3,658,"Y"
"354",153500,1074,5,6,1975,"Pave","1Fam",2,495,"Y"
"355",113000,1218,6,5,1973,"Pave","Twnhs",1,264,"Y"
"356",35311,480,2,3,1949,"Pave","1Fam",1,308,"N"
"357",175900,1655,6,5,1993,"Pave","1Fam",2,440,"Y"
"358",160000,1252,7,5,1999,"Pave","Twnhs",2,462,"Y"
"359",127500,1367,6,6,1931,"Pave","1Fam",1,560,"Y"
"360",145000,992,5,7,1967,"Pave","1Fam",1,294,"Y"
"361",141000,864,4,5,1951,"Pave","1Fam",2,400,"Y"
"362",149000,1432,6,6,1923,"Pave","1Fam",1,216,"N"
"363",171000,1701,5,5,1975,"Pave","1Fam",2,611,"Y"
"364",135000,1229,4,6,1956,"Pave","1Fam",1,284,"Y"
"365",124000,1610,3,4,1938,"Pave","1Fam",1,480,"Y"
"366",175000,1484,5,6,1971,"Pave","1Fam",2,487,"Y"
"367",113000,672,4,6,1941,"Pave","1Fam",1,234,"Y"
"368",163000,1040,6,4,1967,"Pave","1Fam",2,480,"Y"
"369",157500,976,6,7,1968,"Pave","1Fam",2,504,"Y"
"370",190500,1677,6,5,2001,"Pave","1Fam",2,627,"Y"
"371",298236,2389,8,5,2006,"Pave","1Fam",3,672,"Y"
"372",85000,876,4,5,1959,"Pave","1Fam",1,320,"Y"
"373",250000,1977,7,5,2006,"Pave","1Fam",3,574,"Y"
"374",123900,1040,5,7,1936,"Pave","1Fam",2,624,"Y"
"375",153500,1226,5,5,1951,"Pave","1Fam",2,400,"Y"
"376",236500,1788,8,5,2001,"Pave","1Fam",2,522,"Y"
"377",122000,960,5,5,1955,"Pave","1Fam",1,330,"Y"
"378",146000,1150,5,4,1961,"Pave","1Fam",1,288,"Y"
"379",117000,1214,5,3,1901,"Pave","1Fam",1,216,"N"
"380",158000,1523,5,7,1949,"Pave","1Fam",1,295,"N"
"381",200500,3086,5,6,1946,"Pave","1Fam",0,0,"Y"
"382",145000,1721,5,3,1960,"Pave","1Fam",2,626,"Y"
"383",175000,1691,6,5,1967,"Pave","1Fam",2,550,"Y"
"384",153900,1416,5,8,1915,"Pave","1Fam",3,720,"Y"
"385",152000,1141,7,5,2006,"Pave","1Fam",2,484,"Y"
"386",175000,1126,5,6,1977,"Pave","1Fam",2,540,"Y"
"387",154000,1154,5,6,1966,"Pave","1Fam",2,480,"Y"
"388",186000,1212,6,5,2009,"Pave","1Fam",2,460,"Y"
"389",88000,1092,4,4,1970,"Pave","TwnhsE",1,286,"Y"
"390",307000,1694,8,5,2004,"Pave","1Fam",2,636,"Y"
"391",124000,1040,5,5,1978,"Pave","1Fam",0,0,"Y"
"392",184000,1651,6,5,1986,"Pave","1Fam",2,616,"Y"
"393",157500,1388,6,6,1977,"Pave","1Fam",1,317,"Y"
"394",360000,1944,9,5,2003,"Pave","1Fam",3,708,"Y"
"395",177900,1384,5,5,1996,"Pave","1Fam",2,404,"Y"
"396",109500,1068,6,5,1923,"Pave","1Fam",1,288,"Y"
"397",142125,1078,5,6,1950,"Pave","1Fam",1,240,"Y"
